u,v
65358541,4034195443
65358626,258972095
65358626,65358669
65358626,65318464
65358645,65342045
65358645,65342038
65358646,65358721
65358646,65342049
65358669,65358673
65358669,65318460
65358669,65358626
65358669,65305916
65358673,65358669
65358686,65321779
65358686,65358701
65358686,65332985
65358701,65321791
65358701,65321802
65358701,258972095
65358701,65358686
65358714,1735954074
65358714,65360361
65358721,3999713649
65358721,1606434388
65358739,318304226
65358739,263989180
65358767,65311377
65358767,65320655
65359394,315420239
65359394,65291691
65359394,65363639
65359421,258922097
65359421,65342056
65359424,65342056
65359424,761807880
65359424,4062847005
65359424,6919426532
65359469,12195577862
65359469,65316105
65359469,12195577839
65359469,65351693
65360198,65366648
65360198,65287720
65360198,65349256
65360361,65315046
65360361,65360365
65360365,65291604
65360365,6325970951
65360365,65315055
65360368,65355106
65360368,65315076
65360368,65301273
65360368,65324074
65360691,65360755
65360691,1196702052
65360755,258922160
65360755,4062468476
65362282,65362289
65362289,65355934
65362289,65362282
65362314,65342081
65362314,65347558
65362314,65348521
65362323,65342088
65362323,65333095
65362323,65347558
65362323,65319504
65362333,65342098
65362333,65319493
65362333,65304983
65363639,65285870
65363646,315420239
65363646,65363639
65364264,4062468476
65364264,4062468479
65364777,65353313
65364777,65295164
65364777,65299691
65364777,6356789751
65364781,4034101610
65364781,65358533
65364837,65340451
65364837,65353309
65364837,65295108
65364837,6355820457
65365046,702390031
65365046,4069129312
65365439,2630856793
65365439,65287881
65365439,65330018
65365901,65280099
65365901,65353303
65365901,65366648
65366648,65360198
65366648,65365901
65366648,1707842763
65366846,65357344
65366846,65357344
65366846,65309772
65366846,65309772
65366846,65353322
65366846,65295192
65369025,65375081
65369025,12144489633
65369025,3645339991
65370637,12195577844
65370637,12195577871
65370637,6355820457
65370637,65319846
65370802,65350300
65372177,65326392
65372177,11030036734
65372618,65329876
65372618,65329866
65372728,65341574
65372728,313867822
65375081,65369025
65375081,65314293
258289371,4069109496
258289605,258924399
258755838,65315046
258755838,65309866
258755838,1735954082
258755839,258755838
258755839,65315055
258755839,65314788
258755840,65291602
258755840,258755839
258755840,65291599
258755841,65315071
258755841,258755840
258755841,2420468425
258755842,65315076
258755842,258755841
258755842,65314792
258757444,65295122
258757444,65295120
258757445,65316105
258757445,65341610
258757445,12195577837
258757446,65316115
258757446,12195577878
258757446,65341614
258757447,65316123
258757447,258757446
258757447,65340939
258757448,65287762
258757448,258757447
258757449,65316139
258757449,388004321
258757450,65316155
258757450,258757451
258757450,388001178
258757451,65316146
258757451,258922094
258757451,65342051
258757483,65316314
258757483,2909552124
258757484,258757619
258757484,65294644
258757616,65321796
258757616,65358701
258757617,65329996
258757617,258757616
258757618,65316006
258757618,258757617
258757619,1201336698
258757619,258757618
258757620,65294644
258757620,258757619
258757620,5994182975
258914478,65319493
